                                 S.R.I.
                      1e année d'école d'ingénieurs
                                2022 - 23
                             Version V1
EVALUATION : ELURO5C2 - Sûreté de fonctionnement - A.deBONNEVAL -
J. VANDERSTRATEN

                Nom                         Prénom                Notes/20
     22212673                                                                15.21
     22213442                                                                10.83
     22208344                                                                14.58
     22006643                                                                11.25
     22111156                                                     Validé 2022
     22200727                                                                13.96
     22109358                                                     Validé 2022
     21910114                                                                13.75
     22211169                                                                12.92
     21901098                                                                15.42
     21806226                                                                11.25
     22001175                                                                13.13
     22211358                                                                14.38
     22211192                                                                 6.25
     22209750                                                                11.88
     21907935                                                                12.92
     22100778                                                     Validé 2022
     21801463                                                                14.17
     22212378                                                                13.13
     22012163                                                                13.96
     22000315                                                                13.75
     22002471                                                                14.17
     22000875                                                     ABI
     22209443                                                                17.08
     22114414                                                                14.17
     22014650                                                     Validé 2022
     22003028                                                                13.54
     22007756                                                                15.42
     22003774                                                                12.71
     21915191                                                     ABI
     22213821                                                     ABJ
     22211173                                                                13.75
     22002953                                                                13.33
     22005564                                                                14.38
     22211207                                                                14.17
     22110544                                                     Validé 2022
     22209754                                                                14.79
     22203027                                                                12.08
     22109445                                                     Validé 2022
     22005789                                                                13.33

                                                 MOYENNE :                   13.408
                                                          Min :                6.25
                                                         Max :                17.08
                                                   Ecart-type :               1.877
                               Notes inférieures à la moyenne :                   1
                                                  MEDIANE:                   13.750

