                                   S.R.I.
                        1e année d'école d'ingénieurs
                                  2022 - 23
                               Version V1
EVALUATION :           ELUMC5B2 - Mathématiques - Mise à niveau - E.
MONTSENY- 21/10/2022 , AVEC PONDÉRATION avec feuilles de préparation de
TD + correctif d'une note
                  Nom                      Prénom             Notes/20
     22212673                                                          12.78
     22213442                                                            3.3
     22208344                                                             20
     22006643                                                           7.25
     22111156                                                            3.4
     22200727                                                           13.3
     22109358                                                           2.78
     21910114                                                           9.38
     22211169                                                          10.23
     21901098                                                          13.63
     21806226                                                          10.23
     22001175                                                          14.05
     22211358                                                          15.33
     22211192                                                          10.33
     22209750                                                           14.9
     21907935                                                            8.1
     22100778                                                           0.85
     21801463                                                            6.6
     22212378                                                          13.73
     22012163                                                          10.23
     22000315                                                           13.2
     22002471                                                           16.6
     22000875                                                 ABI
     22209443                                                           8.53
     22114414                                                          13.73
     22014650                                                           7.25
     22003028                                                          10.23
     22007756                                                          12.35
     22003774                                                           7.35
     21915191                                                 ABI
     22213821                                                 ABJ
     22211173                                                           3.95
     22002953                                                           9.38
     22005564                                                          14.05
     22211207                                                           5.98
     22110544                                                           5.33
     22209754                                                          14.48
     22203027                                                          17.45
     22109445                                                           7.78
     22005789                                                           5.13

                                                   MOYENNE :          10.086
                                                            Min :       0.85
                                                           Max :          20
                                                     Ecart-type :      4.557
                                 Notes inférieures à la moyenne :         17
                                                    MEDIANE:          10.230

